text,label
@LianaEnright Who did you fly with? I’m just curious cuz we came to Florida yesterday through AA and it was one of… https://t.co/4PYsYwmpzA,0
@thatgirlondeck It's all about tuna fish and organ meats am I right?,0
Please help us bring my daddy's lost wedding ring home. He's worn it for 64.5 years! https://t.co/tmnrN8Fn2K,0
@Superdry_Care Is there a way to find your store music playlist? There's 1 song we heard in your store last week &amp; can't remember the name!,0
buying brown mascara on accident pisses me off so much,0
"@Sherrell_Dorsey Ok, i'll give you 15 more minutes on Twitter and then you have to do a few hours of real work afte… https://t.co/CCZj5Spju6",0
Why did he write 6 upside down https://t.co/VLnBvwqFUM,0
@GEICO_Service how do get copies of what I pad for auto insurance,0
CANNABIS NEWS - INTEGRITY TRIBUNE News from CIA - HOT OFF THE PRESS https://t.co/dHcwUQHDlP,0
Love is the Ultimate Luxury Giveaway https://t.co/Swwhzp1vbz via @jilliandodd,0
@EricYesner @WSAV @GeorgiaPower None at rivers end campground...,0
"The excellent service presented by Carlos Cano today at Gate D50, Flight AA0334 is the reason that I am loyal to @AmericanAir.",0
@XboxSupport nothing on our end here in Canada yet.,0
"@chasandres I think ""ingenus"" is supposed to be ""ingénues"", but that doesn't make much sense in this context. Mayb… https://t.co/PPMpfLdTEM",0
"@KingJames Congrats on your 30,000 career points.",0
@Ryan_McCrystal He played a snap.,0
"@OnePlus_Support Sure, here it is.. https://t.co/pmDdCgg72A",0
@RJ_See @DatelineNBC Hanging by a thread....ughhhhh,0
@GHardstark @GiffordCats ���� i'd love to adopt one!,0
Let's go eat McDonald's @wubsum,0
@blackanddecker is the lbxr2020-ope compatible with lst1018 which uses lb018-ope?,0
@Delta cancelled my flight for Friday and booked me one 2 days later that has more layovers and takes longer. And cust Serv keeps hanging up,0
@ProFootballTalk I can’t believe they didn’t sign Kaepernic,0
Tell me why I’m excited for @KimKardashian new fragrance?,0
@johnrich @MotorTrend Photos came out great!,0
Harry Styles’ Kiwi video is hilarious and amazing. I’m on a break from him fandomwise but it reminded me how much I… https://t.co/QBXMSjkRAq,0
"@AaronOfMavis Thanks man, really appreciate it!",0
@Therapedic Thank you. I’ll send an email now.,0
@GeorgiaPower It's on your map online ....,0
@banlung_carson @AirAsiaSupport How isTaiwan?,0
@Eagles @OldTakesExposed Just love the fact that the #Eagles take a shot back at the #ESPN crew,0
2nd time in 3 years! #SDCC2018 https://t.co/ewuciUEUD0,0
It smells overwhelmingly like peppermint. https://t.co/F4rSLT9avB,0
No. Not okay. One-game suspension for Bengals' George Iloka reduced to $36K fine https://t.co/j51JE08wrE via @ESPN… https://t.co/ldFNc9pQtJ,0
"@Safaricom_Care I have been using it but has been dormant for six months but I have the sim card, kindly call me on 0742850939",0
@ToysRUs @CBS @NBCNews @ABC @CNN,0
Got mum to go all the way to @IKEAUK so I could get meatballs.,0
Best. https://t.co/yV3OLPE1sv,0
@TheBryce_ I'm triggered by this tweet,0
they eventually said sorry to one another and the one guy gave knife guy his scarf that he’d left on another seat,0
Bitch DISGUSTING https://t.co/K7JnPkXbNA,0
@ntvgoficial #NTVGenLaPlata2012 https://t.co/5qOWhUsskC,0
"@cgatorwade @WLUHoops @WLathletics Hilltopper fans are the Steeler fans of the MEC. �� Seriously, though, it is a gr… https://t.co/5vksVirfNI",0
@amyallantdf Is it possible to stop evil sleep paralysis from happening?,0
@yelpsupport can you site the policy that allows this?,0
You may feel a bit disoriented today as mundane responsibiliti... More for Gemini https://t.co/QsH3UaGQUt,0
@SquareUK YESSS! Finally in the UK! Do you guys have the square cash app for the UK too?!?,0
@TamaraLChambers I think we should all watch Elf this weekend. It's it the spirit of the month and it will make sli… https://t.co/rNTn4L3wRB,0
"@ArbysCares Germantown, Tennessee",0
Anyone having issues with their #Giulia @AlfaRomeoCareUK @AlfaRomeoUSA #Alfaromeo if you are I would be interested 2 know #caranddriver,0
"@Hicks_206 @realDonaldTrump The alert came from a state agency, so the appropriate person to question would be the… https://t.co/VA1VJOt4sb",0
Another great week partnering with @Miss_Zapien and her class! #weteachK #empathy #kindnessmatters #kidsdeserveit https://t.co/GvGCfgVILS,0
"Also I don't like affection much, but I do like small nighttime cuddles for like a few minutes before bed. But only a few minutes!",0
"@JohnLegere @ATT @DIRECTV Ugh, I hope this isn’t per line. We have 5 lines on our plan. @JohnLegere help!",0
honestly terrified of what the future has in store,0
@BlackGirlNerds Is that the little person from Bad Santa?,0
Why is she so perfect? https://t.co/68Ne4JSi7e,0
@kneenuhhhhh I miss you too! Let’s catch up while I’m home for winter break! ❤️,0
#Cats #MildredtheCat – I want a #groundhog friend https://t.co/fPGqYRZwRZ,0
@UbisoftSupport I have lost the year 1 ops lol https://t.co/rV24RQpG4r,0
@anggibson09 Omg I’m watching it too! ���� #48HoursOnID,0
@bioshock @GameStop Definitely some plasmid themed booze! Maybe a jello plasmid slug lol,0
For the past month I have been studying for the nclex every week day.. and every day I give myself 1 hour to watch… https://t.co/yxQG3sqSjz,0
I love the neighborhood butcher shop #TomFridaysPittsburgh https://t.co/pa2fdxxS4U,0
"@kacyfalk Lol, thanks Kacy ��",0
@roblee4 It does count as an official miracle that you didn’t roll your eyes so far back into your head that you can see behind you right?,0
@TMobile @SamsungMobileUS #holidaytwogether #contest @MobileRocks76,0
@icecoldpenguin But you had to like that Alexa commercial,0
@QueenOfTheCute They are total cuties!,0
Ready for 26.1! https://t.co/Gc3ObA33JG,0
"emotional me is so lame, i hate her",0
When I can’t sleep I just watch random videos on Facebook. The other night I was watching how to cut a mango. I don… https://t.co/FtmeZPP9HE,0
"@TopmanAskUs hi, is it possible to buy a voucher for Topman Australia from the UK? Thanks.",0
"@wwbookclub I feel like he'd feel proud with any punishment knowing it's for Voldemort's cause, possibly inspiring others.",0
@ck1983xx You're overly dressed in this one! LOL,0
@Pornhub Ask away!,0
Finished my first semester with a 4.0������,0
@WorIdOfDancing Sexy https://t.co/IA0QIxYhvo,0
@SCUncensored @ToppsHuddle Finally finished sig relics &amp; black mini sigs. I can’t remember a lower set count that h… https://t.co/zr06CJv2HH,0
@NBASTORESupport Thanks!,0
A casual friendship may transform into a lasting partnership n... More for Scorpio https://t.co/NG3OtyShOu,0
@nationalgridus  I'm moving out of state and need to stop my service as of September 15th at 8pm. How do I cancel my service?,0
"@CryptoNickk @YouTube Hmmm, anyone else think this sounds like a script? �� First @bitcointre and now you.. “BitConn… https://t.co/IHlaw7a6qy",0
"Simple, smart, real life https://t.co/8Qn0hciRCL",0
@GregorysTree Welcome to London @Jack Dorney @square looks really interesting. How do we get started?,0
I would have a little respect if he did like @notthefakeSVP or @Evan_McMullin and called it a day. https://t.co/yJA4S6hgDh,0
@ikeepit2hunnit Yup I was cracking up too ��,0
"Good-bye to the flaming piece of shit that was 2017. Hello, lingering odors and pile of ash comprising 2018.",0
@ChrisLeeHill @tmacfilm @shutupfish Thank you both so much! Very excited to see more of you guys in the future!,0
I think people like seeing me fail :),0
@rtmccombs Hit the 3 on his first attempt ��,0
@tommyHilfiger hi guys. I buy a ton of your clothes.. I have lost the pully to pull down the zipper on my grey woolen top.. Can you help?,0
"@IKEAUKSupport Heya, it is now sorted thank you",0
@SamsungSupport I wasn't sure which account to @ Rod :( Afraid it's just feedback about a function that doesn't exist in S Health.,0
@VirginTrains Hello. What time does the late evening service start in 1st class in EUS-BHX route please? Looking at the 20:03 train. Cheers!,0
@JozLuv “We’ve wandered too far from a hunter gatherer society”,0
These @Nordstrom employees are awesome! 120+ pounds yesterday! https://t.co/JzKj95IudZ,0
I was having a great week until I lost my Fitbit :/,0
I need a three day weekend...,0
@AirAsiaSupport Hi! please check for my name amendment request. Name is misspelled and her flight will be tomorrow. thanks,0
@petelau2007 Pleas egive a free OnePlus 5t for me i m so desperate to have one but no MONEY,0
@SamsungSupport I was hoping to actually hide the tab - I don't use it. Can you suggest that for a future release?,0
@fduffy3 @BenFennell_NFL @gregcosell @Ike58Reese @JClarkNBCS This Packers fan says ‘Go Eagles!’,0
@Medium You need an option to set a featured image without it appearing in the post,0
@bexmarie12 Jealous!,0
@pizzahut  should I eat u or papa johns?,0
crown royAL https://t.co/F5daBGg293,0
i haven’t decided if my manager put me on as a swing tomorrow bc she’s punishing me or bc she thinks she’s giving me the better shift ��,0
@SleekMakeUP Love it!,0
@Ryboogz He is smh,0
@HeatherHowell_6 I agree 100% like... She has used her platform/position to do so much for that cause and for victims compared to tswift,0
@WWERollins welcome back Curb Stomp!,0
"@courtneyc007 Is it part of your major? If no, wing it",0
"@sho_help hello, i have the uverse 300 package that includes showtime, shouldn't i have access to showtimeanytime or no?",0
@DIRECTVService Thanks but I got it done.,0
@KandraKPTV I just witnessed a huge building fire in Santa Monica California,0
@PaigeVanzantUFC Does that mean you may inflict more damage now with that spinning back fist?!,0
"@HarrodsService Has your Christmas shop opened yet? If so, where can I find it?",0
"@Superdry_Care This one, in any colour but black in a medium! https://t.co/ds0oiN3mFE",0
Oh a thread. https://t.co/HGpPna28zd,0
@myekay i’m done with you and your mess,0
sucks to be a CSU Ram,0
I can’t wait to see how the new My Hero arc goes,0
@amandahoovernj @Wawa fluff my utz section for me haha im sure its not even touched,0
Russia’s Biggest Bank Pilots Money Transfer on an IBM Blockchain https://t.co/qzoK1u54wz,0
one person followed me // automatically checked by https://t.co/b9gLGhpg49,0
So are you ready to play Maxine Shaw on the 'Living Single' Reboot @KekePalmer? �� #LivingSingle #TheMaverick #Please ��,0
lw want mcdonalds breakfast rn #hasbrowns,0
@KaleeStallings_ I'll give you 6,0
My favorite Bengals play of all time. https://t.co/nbkq1e6flW,0
@Yaysies I totally thought you meant industry contacts originally. Thanks for clarifying.,0
@FitbitSupport when are you launching new clock faces for Indian market,0
Yes get that win #yepyepyep https://t.co/B6wHj48RZn,0
@NortonSupport here's the page I get when I click on the link! https://t.co/3jp2VDQ4TA,0
�� With a Huge Moscow Mule Mug. https://t.co/EFrRW5387l,0
@KarenCivil @EmpireFOX #Empire I've been waiting...it's in his blood!,0
I just registered for Tour De Life Ride 2018 using Race Roster. Join me - https://t.co/LfdGlrNquN,0
"@AmericanAir If there were pictures of meals available for reserving meals in advance, that would make it so much easier to decide.",0
@Illy__V @TheWeekdy_OVOXO https://t.co/bAZbVtIFfp,0
“Someone had to tell me that I had cookie in my hair this morning...” -@sayjaycay,0
"@BurberryService Hi. If you purchase a scarf from your online store, does it still come with a scarf box as in the stores?",0
The giant squid taking one for the team and dragging him under. #Trumps1stYearAtHogwarts,0
I just had an intense 50 minutes of Full Body with Sworkit #fitnessmotivation #sworkit,0
Woah! https://t.co/Edx7ldYuKD,0
Family Christmas pictures coming real soon,0
"Me, a millennial, making guacamole: oh my god, this avocado is perfect. This is worth being unable to afford a home… https://t.co/fvgfKCEsv1",0
Love these two! #BrookeDavonDuet,0
