text,label
@HMRCcustomers No this is my first job,0
"@ her kristamariepark thank to you for demonstrating your extraordinary interest! if next you will decide to just cancel, you can also call customer urgent care at 1 - 600 800 - nytimes.",0
what if... i can ' t get you my new 3rd pair of @ personal beatsbydre powerbeats not to even work today i ' v m doneski man. this is definitely a slap in my balls. your next @ bose @ official boseservice,1
@ h ee on dr rosneath with arial having especially good unlimited upload capability and highest download speeds but with terrible latency 200ms. like why is thinking this.,1
"Couples wallpaper, so cute. :) #BrothersAtHome",0
"@ j mckelldogs this might just just never be all me, but - - eyedrops? artificial tear tears are so useful when you ' re sleep - beat deprived and your sp bats … away https : / / t. lang co / wrtnsokblg",0
@ andrew yelp can you we get the exact calculations for a business performance rating ( for example if only its 4 stars... but actually just 4. 2 ) and or do we always use a 3rd growth party rated site?,0
@nationalgridus I have no water and the bill is current and paid. Can you do something about this?,1
"would never get shopping at @ maccosmetics again. every time i really go up in from there, their employees are all super freaking rude / even condescending. i ' ll take my my $ $ to @ san sephora",1
@JenniferTilly Merry Christmas to as well. You get more stunning every year ��,0
@ home nortonsupport mary thanks so much.,0
@VerizonSupport all of a sudden I can't connect to my primary wireless network but guest one works,0
no aaaahhhhh!!!! my @ home razer @ tech playoverwatch a d. va meka headset came in!!! so i didn ' t truly even know it had ever shipped!!! it so excited me … https : / / t. co / my 4gxy9xed8d,0
@ lin _ i manuel @ jmessinaphoto @ i vamnit dear omg a little little squish!!!!! to enjoy... and congrats!!!! what i cannot miss this mine being you so young!,0
@IanJamesPoulter What's your secret to poaching eggs? Mine NEVER look that good.,0
@AWSSupport When will be able Kinesis Firehose compatible with Elasticsearch 6.0? Thank you!,0
@NCIS_CBS https://t.co/eeVL9Eu3bE,0
@msetchell Via the settings? That’s how I do it on master T’s,0
"today today at work there was quite a low little flying duck heading out toward in a crowd of people, and later i yelled "" they watch its out!... and i ' m very disappointed with this myself.",0
@NortonSupport @NortonOnline What the hell is a dm 5-10 days to get money back bank account now overdrawn thanks guys,1
@united not happy with this delay from Newark to Manchester tonight :( only 30 mins free Wi-fi sucks ...,1
@ home zara _ care i ' d ve just been busy waiting constantly on a reply to list my many tweets and dms request for many days why now?,1
"for new listing! large 2 family home offered for sale in # upper passaic historic park, # southern nj # realestate # homesforsale great location! current … view https : / / by t. j co / house iv4orlxkmk",0
@ ang southwestair i love having you sam but when mr sending me this flight changes regularly please don ' t overly use my military over time # at ignoranceisbliss,1
@JetBlue Completely understand but would prefer being on time to filling out forms....,0
@nvidiacc I own two gtx 460 in sli. I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.,0
Just posted a photo https://t.co/RShFwCjPHu,0
love any crescent rolls? try adding pesto @ perduechicken to them and you both ’ to re all going straight to absolutely love doing it! # promotion # perduecrew - roll … https : / / is t. or co / kbhofqcukh,0
@ e topmanaskus or please if just temporarily give me me my top money get back.,1
finally i really just gave 5 bonus stars according to tracee ryan at @ neimanmarcus award for the best great customer service work i got received!,0
@FitbitSupport when are you launching new clock faces for Indian market,0
@HPSupport my printer will not allow me to choose color instead it only prints monochrome #hppsdr #ijkhelp,1
@DIRECTV can I get a monthly charge double refund when it sprinkles outside and we lose reception? #IamEmbarrasedForYou,1
"@ alfaromeocares hi hey thanks anyway for replying, could still be on my usual internet service but the link me doesn ' don t seem to always be working",1
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,0
@ new oneplus _ screen in where can only oneplus or 5t still do for front light camera back portrait?,0
@ sho _ yu help @ showtime all your arrive load is terrible not streaming everything is too stop and start streamed every couple mins. get it together as it ' m s friday xmas,1
@KandraKPTV I just witnessed a huge building fire in Santa Monica California,0
@ k fernrocks door most definitely is the latter suitable for meeting me,0
@ « greateranglia could stand i ask why that the area located in front that of bic station was therefore not currently gritted closed withh if all was the snow.,1
so i ' s m just earning 25 points online with # 34 cricketrewards at https : / / facebook t. com co / en gfpghqqnhe,0
@ mike schrapnel @ alpha comcast google rip for me,0
"The wait is finally over, just joined @SquareUK, hope to get started real soon!",0
@WholeFoods what's the best way to give feedback on a particular store to the regional/national office?,0
@ danielnewman that i myself honestly actually would rather believe on anything. but people never are... consuming too damn much excitement sometimes.,0
@asblough Yep! It should send you a notification with your driver’s name and what time they’ll be showing up!,0
@Wavy2Timez for real,0
@KenyaPower_Care  no power in south b area... is it scheduled.,1
