text,label
@HMRCcustomers No this is my first job,0
"@KristaMariePark Thank you for your interest! If you decide to cancel, you can call Customer Care at 1-800-NYTIMES.",0
If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man. This is a slap in my balls. Your next @Bose @BoseService,1
@EE On Rosneath Arial having good upload and download speeds but terrible latency 200ms. Why is this.,1
"Couples wallpaper, so cute. :) BrothersAtHome #",0
"@mckelldogs This might just be me, but-- eyedrops? Artificial tears are so useful when you're sleep-deprived and sp… https://t.co/WRtNsokblG",0
@Yelp can we get the exact calculations for a business rating (for example if its 4 stars but actually 4.2) or do we use a 3rd party site?,0
@nationalgridus I have no water and the bill is current and paid. Can you do something about this?,1
"At never shopping @ MACcosmetics again. Every time in I there go, their employees super are rude condescending / I. ' ll take my $ $ to @ Sephora",1
@JenniferTilly Merry Christmas to as well. You get more stunning every year ��,0
@ NortonSupport Thanks. much,0
@ VerizonSupport all of a can sudden I ' t to connect primary wireless but my network guest works one,0
Aaaahhhhh!!!! My @Razer @PlayOverwatch d.va meka headset came in!!! I didn't even know it had shipped!!! So excited… https://t.co/4gXy9xED8d,0
@ Lin_Manuel @ jmessinaphoto VAMNit @ Omg little squish a! !! !! Enjoy congrats and! !! I miss! mine so being young! � � � � � �,0
@ IanJamesPoulter What ' s secret your to poaching? Mine eggs look good that NEVER.,0
@ AWSSupport will able When be compatible Firehose Kinesis with Elasticsearch 6. Thank 0 you?!,0
@NCIS_CBS https://t.co/eeVL9Eu3bE,0
@msetchell Via the settings? That’s how I do it on master T’s,0
"At work today there was low flying duck a heading toward a crowd of people, and I yelled "" out watch! and ' I very m disappointed with myself.",0
@NortonSupport @NortonOnline What the hell is a dm 5-10 days to get money back bank account now overdrawn thanks guys,1
@united not happy with this delay from Newark to Manchester tonight :( only 30 mins free Wi-fi sucks ...,1
@ZARA_Care I've been waiting on a reply to my tweets and DMs for days now?,1
"Listing new! 2 for Large Family Home in Sale Passaic #, Park # # NJ realestate # homesforsale Location Great! … https: / / t. co / IV4OrLXkMk",0
@ love SouthwestAir I you but when sending me flight please changes ' don t use military time # ignoranceisbliss,1
JetBlue @ understand but Completely prefer would time being on filling forms to out. ...,0
@ nvidiacc own I 460 two gtx in. sli want I to try windows 8 preview dev. Which driver should I use Can. use I the windows 7 one.,0
Just a posted photo: https / t / co. RShFwCjPHu /,0
Love crescent rolls? Try adding pesto @PerdueChicken to them and you’re going to love it! #Promotion #PerdueCrew -… https://t.co/KBHOfqCukH,0
TopmanAskUs @ just please give me my back money.,1
I gave stars just 5 Tracee to @ at for great neimanmarcus the I service received!,0
@FitbitSupport when are you launching new clock faces for Indian market,0
@HPSupport my printer will not allow me to choose color instead it only prints monochrome #hppsdr #ijkhelp,1
DIRECTV @ get can I monthly a when charge double refund it outside sprinkles we and lose reception? IamEmbarrasedForYou #,1
"@AlfaRomeoCares Hi thanks for replying, could be my internet but link doesn't seem to be working",1
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,0
@ OnePlus_IN OnePlus can do 5T portrait camera front?,0
@ sho_help @ your showtime is arrive streaming terrible start is stop couple and every Get mins. it together it ' s xmas,1
@ I KandraKPTV a just huge witnessed building in fire Santa Monica California,0
@fernrocks most definitely the latter for me,0
@greateranglia Could I ask why the Area in front of BIC Station was not gritted withh all the snow.,1
I'm earning points with #CricketRewards https://t.co/GfpGhqqnhE,0
@Schrapnel @comcast RIP me,0
"The wait is finally over, just joined @SquareUK, hope to get started real soon!",0
@WholeFoods what's the best way to give feedback on a particular store to the regional/national office?,0
@DanielNewman I honestly would believe anything. People are...too much sometimes.,0
@ asblough Yep It! should send you notification a with your ’ name driver s and they what time ’ ll be up showing!,0
@Wavy2Timez for real,0
@KenyaPower_Care  no power in south b area... is it scheduled.,1
Honda won't do anything about water leaking in brand new car. Frustrated! @HondaCustSvc @AmericanHonda,1
"@ CBSNews @ Dodge @ ChryslerCares My driver air side bag been has and recalled but replaced, about what the passenger side?",1
@BurberryService Thanks for sending my Christmas present with the security protection still on it! pic.twitter.com/iI0DUxOUU2,1
Catching up on #AYTO marathon! The people they pick for these shows..oh the stupidity ��‍♀️,0
"Hi @BootsHelp, is it now Boots policy to only offer a refund if the item is faulty?",1
"@JBPritzker I’m curious...if the SoS is the “least offensive,” do you believe that African-Americans are offensive… https://t.co/etGSvRUS1h",0
@greateranglia Ok thanks...,0
@megelizabethgee i’m actually crying,0
"@ tried to DICKS buy this. today Above the said rack% 40 off apparel told. Was hats are not "" considered apparel "" https: / / t. / vxtNI1Frm7 co",1
@ @ mombot mcrartgallery is the This fucking stupid most thing I ever ' ve heard of Next. step is women make wear burka … https: / / t. co m8dfs0isUb /,0
@JustKeedy504 @30samIToya That's how it's gonna happen ��. Thinking shit is cool then BOOM u crying in the car ����������… https://t.co/l4eVJuhPQX,0
Two Tickets to Start Loving You – A Destination Conference for Moms! https://t.co/NfiUjP5fme,0
@BTCare Yes but was cut off. Can someone come out?,1
Is how still Drew on DancingABC @??,0
