text,label
@WoolmanBrook green tea,0
Now I want someone to do a country-western Chu Ci. They are the songs... of the South. Qu Yuan feat. Dixie Chicks! https://t.co/7vuXlDaBK0,0
Anyone who ever suggests we have His Grace's birthday party at Chuck-E-Cheese is going to get… https://t.co/WoYmZZv56T,0
@SenWarren @SenGillibrand @realDonaldTrump When will Windbag Warren finally shut her trap?,0
@greateranglia left my Race of champions beanie on the 0200issh Southend Airport train. Please let me know if found,0
"Anything short of JT bringing Janet Jackson on stage, apologizing, and then sitting and watching her perform would… https://t.co/0clc5CBwZg",0
"“The Shape of Water” if you haven’t seen it, you should. Beautiful movie!! #goldenglobes2018",0
@JordanPeele I said to myself that if you/the movie got nominated that I would go back and watch #GetOut.,0
@SamsungSupport Thank you!,0
Just shook someone’s hand with a piece of half eaten Italian bread in my hand,0
This is a nightmare https://t.co/KrbZEboPeM,0
"@Mike_Wuerthele I'm a man, I'd like a richer more fulfilled life. If only there were a Managing Editor to inform me… https://t.co/I7UmL24e2E",0
please watch ���� https://t.co/9ZzxSz6Wkh,0
@DailyDresses I actually really like this color :o,0
@Jaclynhill MEEE,0
@DisneylandToday Thank you! Is it the same nightly or does it change?,0
If I felt threatened by an assistant manager at @Walmart where can I place a complaint?,0
@prettysmart_420 @Taradactyl16 @netflix That depends on your definition of talented...,0
one person followed me // automatically checked by https://t.co/S0xkb1HNIM,0
"@Safaricom_Care I have been using it but has been dormant for six months but I have the sim card, kindly call me on 0742850939",0
"If you can’t prove yourself as a friend, I sure as hell don’t want you as more ����",0
How I'm feeling rn https://t.co/w6fdUphQU8,0
Another great week partnering with @Miss_Zapien and her class! #weteachK #empathy #kindnessmatters #kidsdeserveit https://t.co/GvGCfgVILS,0
@blackanddecker is the lbxr2020-ope compatible with lst1018 which uses lb018-ope?,0
@NikeSupport And have latest software updates,0
@JetBlue I'm guessing SFO just being backed up isn't exactly in your control :(,0
@HondaCustSvc someone has gotten it touch with me.,0
@painfadesaway thanks for the feedback. You should be able to continue to use https://t.co/j6qsVzQta7 by ignoring the download prompts,0
@dbongino What I learned from the speech is eating a lot of dirt will apparently stunt your growth. I think they sh… https://t.co/NMt5zSuvOy,0
@neimanmarcus would you please change my size to a medium in my order? DM me please.,0
"@Square @jack congratulations on launching square in the UK, would like to discuss options on moving our merchant accounts to you.",0
"@tianaoster He should take your last name, then you guys can name your kid “RollerC”",0
@BootsHelp am I able to return things to the store if I paid through PayPal or do I need to post it back ?,0
Join noosa’s Cream of the Crop fan club! Fun games and free swag til the cows come home! Click here to sign up https://t.co/X19t4y37PR,0
When you’re trying to figure out how to work the chemistry problems on the study guide and realize there’s no way t… https://t.co/dQbEzahX0X,0
Catching up on #AYTO marathon! The people they pick for these shows..oh the stupidity ��‍♀️,0
i want mcdonalds,0
HELP! Rob and Amanda's House Fire https://t.co/A3oj7LMuli,0
Uncovered a @SEPTA fossil waiting for the 79. https://t.co/Qwa5r4NuVe,0
Cant connect to a game still. @Rainbow6Game,0
Weirdly invested in Justice League appearing on the in flight entertainment on @AmericanAir. Seems like the perfect plane movie.,0
She is so beautiful!,0
@yashar @Peggynoonannyc Thank you for starting my day with a beautiful non-partisan story.,0
"Mrs. Howard, @FHMSChoir, stopped by to make music with Synergy Singers this morning! https://t.co/hU5bezEUwY",0
@tay_norwood dude same thing happened to me recently ��,0
"@BlackberryBallr @FOX17Blitz @Sumoney_1 OMG what a young boy in this picture, also your son haha, good times right @taramhernandez",0
@BTCare Done. Thank you!,0
@GEICO_Service Not that I know of. My plan is going to be cancelled on the 9th so I have more than enough time to find another company,0
@NBASTORE @NBASTORESupport when will the black celtics jersey be available for purchase?,0
@KaleeStallings_ I'll give you 6,0
@comcastcares hey there. Will all baseball games be available in HD with the Extra Innings package for the 2018 baseball season?,0
The fact that people screenshotted my snap story ��,0
@QVC you need to let your customers use the Direct Express Card using the payment method for purchasing merchandise… https://t.co/JjYvwZS69d,0
@KatieUrick @maaarly__ Hahaha that's me,0
@comcastcares I can validate all the information. Just right here on Twitter via reply?,0
happy britney's birthday,0
"Outlast 2 Lets Play Chapter 1 ""Genisis 7-7b"": https://t.co/Vnf0XSGi5Q via @YouTube",0
@bravotvobsessed Nene,0
Finished my first semester with a 4.0������,0
"@kiwicoffeeman @posbosshq @tuihanacafe I've got shares in another four IT companies, time to focus on them. Did 7 y… https://t.co/3bs690J7tY",0
Thank you @medium for a better H2 styling. I will actually use it now!,0
I just Shake my head and laugh because I know . He really has a mental problem.,0
*nervous depressed laughing*,0
@artofKnightJJ these ones are relatable,0
@bactive2day @Lesher_MS @mmoeller_co @PickleballUSA How have I never done this.....love it!,0
please be quiet. https://t.co/1ixVWYbiJQ,0
Marvel is finally moving forward on a solo Black Widow movie by hiring a writer! #Marvel #MCU #BlackWidow #movie https://t.co/9kZuNocmoq,0
"@RealJoltCola @subethasoftware Old Jolt was 12 ounce cans at 71.2 mg, so I have read. If new Jolt is 16 ounce cans… https://t.co/T59P8166ln",0
@AirAsiaSupport Is flight AK363 from Surabaya to Kuala Lumpur at 20:50 still operating?,0
Nosey the Elephant Gets Her Happy Ending: Freedom #care2 https://t.co/kXVElD0r9v,0
"@YourAuntBarbara You look gorgeous as always, and I love that dress on you!",0
@bobbixmorse So you’re like making this into a full video right?????,0
@SouthwestAir Status FINALLY came through.,0
@astoldbymegs That. Is. Amazing.,0
"The wait is finally over, just joined @SquareUK, hope to get started real soon!",0
"How delusional do you have to be to even a little seriously say the Bengals have any hope in the next 2-3, or even… https://t.co/73g1ZgFrhI",0
@SamsungMobileUS Galaxy S8 btw,0
These filters are cute tho https://t.co/X1wPBQk844,0
https://t.co/IdIcfq62Ed,0
@HMRCcustomers Thanks! When does this change as I thought it had been phased out?,0
@united I have a question about upcoming travels,0
"@EAMaddenNFL can you explain to me why the game crashes during LVL, my team mate gets kicked out as the game won’t… https://t.co/Tw22Wefm9p",0
@neimanmarcus It was an online order problem that she totally helped me with...,0
Stay strong. It does get better. I found out the boy who bullied me in 7th grade has been arrested multiple times.… https://t.co/xrl5L6lDr5,0
this tweet does not make sense please ignore,0
@Moe_Ciroc Sad but true....,0
Told graham I wanted to FaceTime and then I fell asleep...on FaceTime ����‍♀️,0
"@rochelletoro It's Jackson Hole, Wyoming!",0
@mayzie_metzger OH MY GOSH �� so accurate. He’s so excited with the TP.,0
Buy a 28k modem so I can surf AOL at twice the speed as my current 14.4k. #90sPostItNotes,0
Going against Stafford *stress paces faster https://t.co/Q74SgYuJXq,0
so excited for this it's unreal!! https://t.co/SsALUcG79T,0
@The_Weidmanator Source!,0
@tommyHilfiger hi guys. I buy a ton of your clothes.. I have lost the pully to pull down the zipper on my grey woolen top.. Can you help?,0
"@NFLUK @Patriots That's right, #OnlyInTheNFL will the refs call an obvious TD incomplete and ruin a great game.",0
"I have the flu and I feel like I’m dying, but all I can think about are chicken tenders and French fries... #priorities",0
"Since we all talking about our ideal man, how about someone 5'8""+, average/skinny, with a cute smile",0
Straight up just doing it for the emoji. #TheXFiles,0
chicken mcnuggets !!!,0
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,0
@NVIDIAGeForce If I connect a #GTX580 to a TV through HDMI will I get audio output as well?,0
@shrekfanforever Story of my life,0
@TwitterSupport how can I gain access to account that I no longer have access to the email to. Need to simply remove account.,0
@HPSupport [I am attempting to set my HP c309g to work wirelessly. Do not know my network,0
In need of someone to watch Christmas movies w����,0
@JordanMarkezich I know haha,0
"@MissMcMeowan Well, you're enjoying it so slam dunk on that one! Are you a trainer or something?",0
This is literally the most aggie thing aggie could do for a coaching hire. https://t.co/9ZW7zEqLkO,0
"@UPS @UPSHelp , Hi is they any delays in Koeln,Germany due to weather?",0
"@BootsHelp hi I accidentally ordered two of an item I only meant to order one of, Can I cancel part of this order? Thanks!",0
@BestBuySupport Look at both images,0
@CollegeChoice1 Thanks for the ranking Crookston for top online Sport Management degrees . (… https://t.co/NbTH2oNYtQ,0
one person followed me // automatically checked by https://t.co/XpQ0J9sgFE,0
