text,label
@ No this my first,0
"@ Thank you interest! If you cancel, you can Customer at 1 - - NYTIMES.",0
If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man. This is a slap in my balls. Your next @Bose @BoseService,1
@EE On Rosneath Arial having good upload and download speeds but terrible latency 200ms. Why is this.,1
"Wallpaper, so cute. :) #",0
"@mckelldogs This might just be me, but-- eyedrops? Artificial tears are so useful when you're sleep-deprived and sp… https://t.co/WRtNsokblG",0
@Yelp can we get the exact calculations for a business rating (for example if its 4 stars but actually 4.2) or do we use a 3rd party site?,0
@ nationalgridus have no water bill is and paid. Can you about?,1
"Shopping at @ again. time I go in there, their are super /. I ' $ $ to @ Sephora",1
@JenniferTilly Merry Christmas to as well. You get more stunning every year ��,0
@NortonSupport Thanks much.,0
@VerizonSupport all of a sudden I can't connect to my primary wireless network but guest one works,0
Aaaahhhhh!!!! My @Razer @PlayOverwatch d.va meka headset came in!!! I didn't even know it had shipped!!! So excited… https://t.co/4gXy9xED8d,0
@Lin_Manuel @jmessinaphoto @VAMNit Omg a little squish!!!!! Enjoy and congrats!!!! I miss mine being so young! ������,0
@IanJamesPoulter What's your secret to poaching eggs? Mine NEVER look that good.,0
@AWSSupport When will be able Kinesis Firehose compatible with Elasticsearch 6.0? Thank you!,0
@NCIS_CBS https://t.co/eeVL9Eu3bE,0
@ Via the settings? That how I it on T ’,0
"Today at work there was a low flying duck heading toward a crowd of people, and I yelled ""watch out! and I'm very disappointed with myself.",0
@NortonSupport @NortonOnline What the hell is a dm 5-10 days to get money back bank account now overdrawn thanks guys,1
@united not happy with this delay from Newark to Manchester tonight :( only 30 mins free Wi-fi sucks ...,1
@ZARA_Care I've been waiting on a reply to my tweets and DMs for days now?,1
"Listing! 2 for Sale # Park, # NJ # realestate # Location! https: / /. co / IV4OrLXkMk",0
@SouthwestAir I love you but when sending me flight changes please don't use military time #ignoranceisbliss,1
@JetBlue Completely understand but would prefer being on time to filling out forms....,0
@nvidiacc I own two gtx 460 in sli. I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.,0
Just posted a: / / t. /,0
Love crescent rolls? Try adding pesto @PerdueChicken to them and you’re going to love it! #Promotion #PerdueCrew -… https://t.co/KBHOfqCukH,0
@TopmanAskUs please just give me my money back.,1
I 5 stars Tracee at @ neimanmarcus for the I!,0
@FitbitSupport when are you launching new clock faces for Indian market,0
@HPSupport my printer will not allow me to choose color instead it only prints monochrome #hppsdr #ijkhelp,1
@ DIRECTV can I get charge double refund when sprinkles we lose? #,1
"@AlfaRomeoCares Hi thanks for replying, could be my internet but link doesn't seem to be working",1
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,0
@OnePlus_IN can OnePlus 5T do front camera portrait?,0
@sho_help @showtime your arrive is terrible streaming is stop and start every couple mins. Get it together it's xmas,1
@KandraKPTV I just witnessed a huge building fire in Santa Monica California,0
@fernrocks most definitely the latter for me,0
@greateranglia Could I ask why the Area in front of BIC Station was not gritted withh all the snow.,1
' with # https: / /. co / GfpGhqqnhE,0
@Schrapnel @comcast RIP me,0
