text,label
G-TAD: Sub-Graph Localization for Temporal Action Detection,cs
Improving Zero Shot Learning Baselines with Commonsense Knowledge,cs
AGAN: Towards Automated Design of Generative Adversarial Networks,cs
"Applying the Affective Aware Pseudo Association Method to Enhance the
  Top-N Recommendations Distribution to Users in Group Emotion Recommender
  Systems",cs
"The Collection Virtual Machine: An Abstraction for Multi-Frontend
  Multi-Backend Data Analysis",cs
"Multi-Antenna UAV Data Harvesting: Joint Trajectory and Communication
  Optimization",cs
Popular SQL Server Database Encryption Choices,cs
Audrey: A Personalized Open-Domain Conversational Bot,cs
"Deep Reinforcement Learning-Based Beam Tracking for Low-Latency Services
  in Vehicular Networks",cs
"PSCNet: Pyramidal Scale and Global Context Guided Network for Crowd
  Counting",cs
"Plan-Driven approaches are alive and kicking in agile Global Software
  Development",cs
Bayesian Policy Optimization for Model Uncertainty,cs
"A Better Use of Audio-Visual Cues: Dense Video Captioning with Bi-modal
  Transformer",cs
Improving Word Recognition using Multiple Hypotheses and Deep Embeddings,cs
Could robots be regarded as humans in future?,cs
Understanding and Controlling Memory in Recurrent Neural Networks,cs
An analysis of noise folding for low-rank matrix recovery,cs
Benchmarking Image Retrieval for Visual Localization,cs
"AHAR: Adaptive CNN for Energy-efficient Human Activity Recognition in
  Low-power Edge Devices",cs
"Disease Labeling via Machine Learning is NOT quite the same as Medical
  Diagnosis",cs
"Monte-Carlo Tree Search for Efficient Visually Guided Rearrangement
  Planning",cs
Radar-to-Lidar: Heterogeneous Place Recognition via Joint Learning,cs
3DRegNet: A Deep Neural Network for 3D Point Registration,cs
Adversarial Generative Grammars for Human Activity Prediction,cs
"Enabling Resource-Aware Mapping of Spiking Neural Networks via Spatial
  Decomposition",cs
"NEU at WNUT-2020 Task 2: Data Augmentation To Tell BERT That Death Is
  Not Necessarily Informative",cs
"Transcriptome-wide prediction of prostate cancer gene expression from
  histopathology images using co-expression based convolutional neural networks",cs
"6G Downlink Transmission via Rate Splitting Space Division Multiple
  Access Based on Grouped Code Index Modulation",cs
Overt visual attention on rendered 3D objects,cs
"Changes, States, and Events: The Thread from Staticity to Dynamism in
  the Conceptual Modeling of Systems",cs
Belief Propagation List Ordered Statistics Decoding of Polar Codes,cs
"FANG: Leveraging Social Context for Fake News Detection Using Graph
  Representation",cs
"A Memristor based Unsupervised Neuromorphic System Towards Fast and
  Energy-Efficient GAN",cs
An AGI with Time-Inconsistent Preferences,cs
"Companion Surface of Danger Cylinder and its Role in Solution Variation
  of P3P Problem",cs
"Stability conditions for a decentralised medium access algorithm:
  single- and multi-hop networks",cs
Automatically Inferring Gender Associations from Language,cs
Hierarchical Reinforcement Learning for Quadruped Locomotion,cs
"Adversarially Robust and Explainable Model Compression with On-Device
  Personalization for Text Classification",cs
"Catastrophic Forgetting in Deep Graph Networks: an Introductory
  Benchmark for Graph Classification",cs
"A Theoretical Performance Bound for Joint Beamformer Design of Wireless
  Fronthaul and Access Links in Downlink C-RAN",cs
"COSMO: Conditional SEQ2SEQ-based Mixture Model for Zero-Shot Commonsense
  Question Answering",cs
Classification of Cuisines from Sequentially Structured Recipes,cs
Online Learning with Continuous Ranked Probability Score,cs
"RADDLE: An Evaluation Benchmark and Analysis Platform for Robust
  Task-oriented Dialog Systems",cs
Using Local Experiences for Global Motion Planning,cs
"FILO: FIx-LOcus Localization for Backward Incompatibilities Caused by
  Android Framework Upgrades",cs
Being Optimistic to Be Conservative: Quickly Learning a CVaR Policy,cs
"A Model of Fast Concept Inference with Object-Factorized Cognitive
  Programs",cs
Pilot evaluation of Collection API with PID Kernel Information,cs
Activity and mood-based routing for autonomous vehicles,cs
Fixed-parameter tractable algorithms for Tracking Shortest Paths,cs
Strong Hanani-Tutte for the Torus,cs
"A Neural Model for Text Localization, Transcription and Named Entity
  Recognition in Full Pages",cs
KCAT: A Knowledge-Constraint Typing Annotation Tool,cs
"Investigating Failures of Automatic Translation in the Case of
  Unambiguous Gender",cs
"Berrut Approximated Coded Computing: Straggler Resistance Beyond
  Polynomial Computing",cs
A New Cyber-Secure Countermeasure for LTI systems under DoS attacks,cs
"Well-Read Students Learn Better: On the Importance of Pre-training
  Compact Models",cs
"Person Re-identification with Metric Learning using Privileged
  Information",cs
"Distributed prediction of unsafe reconfiguration scenarios of modular
  robotic Programmable Matter",cs
From Tinkering to Engineering: Measurements in Tensorflow Playground,cs
